Name,Location,Rating,Price (Veg),Capacity,Rooms,More,URL,Extra Info
Nutan Bharat Club,"Alkapuri,, ,, Vadodara, ₹, 300",,"Alkapuri,,Vadodara₹300",400-600 pax,N/A,+2 more,https://www.wedmegood.com/wedding-venues/Nutan-Bharat-Club-913301,"No Reviews Alkapuri, Vadodara Banquet Halls, Convention / Function Halls Veg ₹ 300 per plate Indoor"
Paradise Restaurant and Banquet,"Haripura,, ,, Vadodara, ₹, 300",,"Haripura,,Vadodara₹300",120-200 pax,N/A,+2 more,https://www.wedmegood.com/wedding-venues/Paradise-Restaurant-and-Banquet-743718,"No Reviews Haripura, Vadodara Banquet Halls Veg ₹ 300 per plate Indoor"
Dishavan Bhavan Party Plot,"Karelibagh,, ,, Vadodara, ₹, 400",,"Karelibagh,,Vadodara₹400",250-750 pax,N/A,+2 more,https://www.wedmegood.com/wedding-venues/Dishavan-Bhavan-Party-Plot-701330,"No Reviews Karelibagh, Vadodara Banquet Halls, Marriage Garden / Lawns Veg ₹ 400 per plate IndoorOutdoor"
"Four Points by Sheraton, Vadodara","Fatehgunj,, ,, Vadodara, ₹, 600, ₹, 700",,"Fatehgunj,,Vadodara₹600₹700",130-200 pax,105 Rooms,+3 more,https://www.wedmegood.com/wedding-venues/Four-Points-by-Sheraton-Vadodara-911683,"No Reviews Fatehgunj, Vadodara Banquet Halls, 3 Star Hotels with Banquets Veg ₹ 600 per plate Non veg ₹ 700 per plate"
Ram Baug Party Palace & Banquet Hall,"Akota,, ,, Vadodara, ₹, 499",,"Akota,,Vadodara₹499",250-3000 pax,10 Rooms,+4 more,https://www.wedmegood.com/wedding-venues/Ram-Baug-Party-Palace-and-Banquet-Hall-912980,"No Reviews Akota, Vadodara Banquet Halls, Marriage Garden / Lawns Veg ₹ 499 per plate"
Hotel Raajpath,"Jetalpur,, ,, Vadodara, ₹, 450",,"Jetalpur,,Vadodara₹450",100-150 pax,35 Rooms,+3 more,https://www.wedmegood.com/wedding-venues/Hotel-Raajpath-911344,"No Reviews Jetalpur, Vadodara Banquet Halls, 3 Star Hotels with Banquets Veg ₹ 450 per plate"
Kumkum Marriage Hall & Party Plot,"Nizampura,, ,, Vadodara, ₹, 150, ₹, 200",,"Nizampura,,Vadodara₹150₹200",350-1200 pax,35 Rooms,+3 more,https://www.wedmegood.com/wedding-venues/Kumkum-Marriage-Hall-and-Party-Plot-594411,"No Reviews Nizampura, Vadodara Banquet Halls, Marriage Garden / Lawns Veg ₹ 150 per plate Non veg ₹ 200 per plate"
Hotel Tulsi,"Sayajiganj,, ,, Vadodara, ₹, 400, ₹, 500",,"Sayajiganj,,Vadodara₹400₹500",75-150 pax,20 Rooms,+3 more,https://www.wedmegood.com/wedding-venues/Hotel-Tulsi-911655,"No Reviews Sayajiganj, Vadodara Banquet Halls, 3 Star Hotels with Banquets Veg ₹ 400 per plate Non veg ₹ 500 per plate"
Ginger Vadodara (RCR),"Vadiwadi,, ,, Vadodara, ₹, 700, ₹, 800",,"Vadiwadi,,Vadodara₹700₹800",60-250 pax,100 Rooms,+3 more,https://www.wedmegood.com/wedding-venues/Ginger-Vadodara-RCR-974821,"No Reviews Vadiwadi, Vadodara Banquet Halls, 3 Star Hotels with Banquets Veg ₹ 700 per plate Non veg ₹ 800 per plate"
Treebo Yahvi,"Diwalipura,, ,, Vadodara, ₹, 450, ₹, 550",,"Diwalipura,,Vadodara₹450₹550",60-100 pax,21 Rooms,+3 more,https://www.wedmegood.com/wedding-venues/Treebo-Yahvi-913758,"No Reviews Diwalipura, Vadodara Banquet Halls, 3 Star Hotels with Banquets Veg ₹ 450 per plate Non veg ₹ 550 per plate"
Shagun Banquet,"Warashiya,, ,, Vadodara, ₹, 300",,"Warashiya,,Vadodara₹300",200-300 pax,N/A,+2 more,https://www.wedmegood.com/wedding-venues/Shagun-Banquet-1010066,"No Reviews Warashiya, Vadodara Banquet Halls Veg ₹ 300 per plate Indoor"
Prit Party Plot,"New Sama,, ,, Vadodara, Price on Request",,"New Sama,,VadodaraPrice on Request",500-1000 pax,N/A,+2 more,https://www.wedmegood.com/wedding-venues/Prit-Party-Plot-2312869,"No Reviews New Sama, Vadodara Banquet Halls, Marriage Garden / Lawns Price on Request IndoorOutdoor"
Hotel Aum Regency,"New Sama,, ,, Vadodara, ₹, 400, ₹, 500",,"New Sama,,Vadodara₹400₹500",30-300 pax,N/A,+2 more,https://www.wedmegood.com/wedding-venues/Hotel-Aum-Regency-743316,"No Reviews New Sama, Vadodara Banquet Halls, Small Function / Party Halls Veg ₹ 400 per plate Non veg ₹ 500 per plate Indoor"
Riya Revati Resort,"New Sama,, ,, Vadodara, ₹, 350",,"New Sama,,Vadodara₹350",80-1200 pax,11 Rooms,+3 more,https://www.wedmegood.com/wedding-venues/Riya-Revati-Resort-595078,"No Reviews New Sama, Vadodara Banquet Halls, Marriage Garden / Lawns Veg ₹ 350 per plate"
De' Courtyard,"Tandalja,, ,, Vadodara, ₹, 350",,"Tandalja,,Vadodara₹350",120-200 pax,N/A,+2 more,https://www.wedmegood.com/wedding-venues/De-Courtyard-974843,"No Reviews Tandalja, Vadodara Banquet Halls Veg ₹ 350 per plate OutdoorIndoor"
Tandoor Garden Restaurant,"Vadodara, ₹, 300, ₹, 400",,Vadodara₹300₹400,70-400 pax,N/A,+2 more,https://www.wedmegood.com/wedding-venues/Tandoor-Garden-Restaurant-975330,"No Reviews Vadodara Banquet Halls, Marriage Garden / Lawns Veg ₹ 300 per plate Non veg ₹ 400 per plate IndoorOutdoor"
Kashi Da Party Plot,"Madhavpura,, ,, Vadodara, ₹, 1,80,000",,"Madhavpura,,Vadodara₹1,80,000",150-1200 pax,N/A,+3 more,https://www.wedmegood.com/wedding-venues/Kashi-Da-Party-Plot-594202,"No Reviews Madhavpura, Vadodara Banquet Halls, Marriage Garden / Lawns Rental cost ₹ 1,80,000 per function IndoorOutdoor"
Shree Kathiyawadi Khadki Banquet Hall,"Vadiwadi,, ,, Vadodara, ₹, 300",,"Vadiwadi,,Vadodara₹300",60-250 pax,N/A,+2 more,https://www.wedmegood.com/wedding-venues/Shree-Kathiyawadi-Khadki-Banquet-Hall-911992,"No Reviews Vadiwadi, Vadodara Banquet Halls, Small Function / Party Halls Veg ₹ 300 per plate Indoor"
Avsar Greens Party Plot,"New Sama,, ,, Vadodara, ₹, 1,000, ₹, 1,000",,"New Sama,,Vadodara₹1,000₹1,000",1000-1200 pax,N/A,+3 more,https://www.wedmegood.com/wedding-venues/Avsar-Greens-Party-Plot-595099,"No Reviews New Sama, Vadodara Banquet Halls, Marriage Garden / Lawns Veg ₹ 1,000 per plate Non veg ₹ 1,000 per plate Outdoor"
"Eastin Residences, Vadodara","Jetalpur,, ,, Vadodara, ₹, 550, ₹, 700",,"Jetalpur,,Vadodara₹550₹700",100-150 pax,44 Rooms,+3 more,https://www.wedmegood.com/wedding-venues/Eastin-Residences-Vadodara-911198,"No Reviews Jetalpur, Vadodara Banquet Halls, 3 Star Hotels with Banquets Veg ₹ 550 per plate Non veg ₹ 700 per plate"
Ambalal Marriage Hall,"Nizampura,, ,, Vadodara, Price on Request",,"Nizampura,,VadodaraPrice on Request",80-1000 pax,N/A,+2 more,https://www.wedmegood.com/wedding-venues/Ambalal-Marriage-Hall-913113,"No Reviews Nizampura, Vadodara Banquet Halls, Marriage Garden / Lawns Price on Request IndoorOutdoor"
Gypsy Grand Restaurant & Banquet,"Tarsali,, ,, Vadodara, ₹, 270",,"Tarsali,,Vadodara₹270",180-250 pax,N/A,+2 more,https://www.wedmegood.com/wedding-venues/Gypsy-Grand-Restaurant-and-Banquet-975319,"No Reviews Tarsali, Vadodara Banquet Halls Veg ₹ 270 per plate Indoor"
K B Patel Party Plot,"Manjalpur,, ,, Vadodara, ₹, 400",,"Manjalpur,,Vadodara₹400",200-2000 pax,N/A,+2 more,https://www.wedmegood.com/wedding-venues/K-B-Patel-Party-Plot-595089,"No Reviews Manjalpur, Vadodara Banquet Halls, Marriage Garden / Lawns Veg ₹ 400 per plate IndoorOutdoor"
