Name,Location,Rating,Price (Veg),Capacity,Rooms,More,URL,Extra Info
Maa Party Plot,"Harni,, ,, Vadodara, ₹, 400",,"Harni,,Vadodara₹400",350-2000 pax,N/A,+2 more,https://www.wedmegood.com/wedding-venues/Maa-Party-Plot-698916,"No Reviews Harni, Vadodara Banquet Halls, Marriage Garden / Lawns Veg ₹ 400 per plate IndoorOutdoor"
Priviera Club and Resort,"Vadodara, ₹, 550, ₹, 759",,Vadodara₹550₹759,500-1100 pax,20 Rooms,+4 more,https://www.wedmegood.com/wedding-venues/Priviera-Club-And-Resort-4281656,"No Reviews Vadodara Banquet Halls, 3 Star Hotels with Banquets Veg ₹ 550 per plate Non veg ₹ 759 per plate"
Pramukh Party Plot & Banquet,"Vemali,, ,, Vadodara, ₹, 350",,"Vemali,,Vadodara₹350",500-2000 pax,N/A,+2 more,https://www.wedmegood.com/wedding-venues/Pramukh-Party-Plot-and-Banquet-719658,"No Reviews Vemali, Vadodara Banquet Halls, Marriage Garden / Lawns Veg ₹ 350 per plate IndoorOutdoor"
Ambience Ballroom Sunday Hotel,"Vadodara, ₹, 850, ₹, 1,100",,"Vadodara₹850₹1,100",15-1000 pax,96 Rooms,+3 more,https://www.wedmegood.com/wedding-venues/Ambience-Ballroom-Sunday-Hotel-24998801,"No Reviews Vadodara Banquet Halls, 3 Star Hotels with Banquets Veg ₹ 850 per plate Non veg ₹ 1,100 per plate"
Sapna Na Vavetar,"Subhanpura,, ,, Vadodara, Price on Request",,"Subhanpura,,VadodaraPrice on Request",300-1000 pax,N/A,+2 more,https://www.wedmegood.com/wedding-venues/Sapna-Na-Vavetar-2365208,"No Reviews Subhanpura, Vadodara Banquet Halls, Marriage Garden / Lawns Price on Request IndoorOutdoor"
Presidency Club,"Vadodara, ₹, 600, ₹, 750",,Vadodara₹600₹750,400-7000 pax,N/A,+2 more,https://www.wedmegood.com/wedding-venues/Presidency-Club-595155,"No Reviews Vadodara Banquet Halls, Marriage Garden / Lawns Veg ₹ 600 per plate Non veg ₹ 750 per plate IndoorOutdoor"
GenX Vadodara,"Jetalpur,, ,, Vadodara, ₹, 375, ₹, 450",,"Jetalpur,,Vadodara₹375₹450",80-300 pax,41 Rooms,+3 more,https://www.wedmegood.com/wedding-venues/GenX-Vadodara-970987,"No Reviews Jetalpur, Vadodara Banquet Halls, 3 Star Hotels with Banquets Veg ₹ 375 per plate Non veg ₹ 450 per plate"
Bhaikaka Party Plot,"Madhavpura,, ,, Vadodara, ₹, 300",5.0,"Madhavpura,,Vadodara₹300",350-1800 pax,N/A,+2 more,https://www.wedmegood.com/wedding-venues/Bhaikaka-Party-Plot-706197,"(3 reviews) Madhavpura, Vadodara Banquet Halls, Marriage Garden / Lawns Veg ₹ 300 per plate IndoorOutdoor"
Aamantran Hall and Party Plot,"Mandvi,, ,, Vadodara, ₹, 300",,"Mandvi,,Vadodara₹300",100-500 pax,N/A,+2 more,https://www.wedmegood.com/wedding-venues/Aamantran-Hall-and-Party-Plot-911880,"No Reviews Mandvi, Vadodara Banquet Halls, Marriage Garden / Lawns Veg ₹ 300 per plate IndoorOutdoor"
Kansaar Hotel,"Sayajiganj,, ,, Vadodara, ₹, 250",,"Sayajiganj,,Vadodara₹250",200-300 pax,N/A,+2 more,https://www.wedmegood.com/wedding-venues/Kansaar-Hotel-911101,"No Reviews Sayajiganj, Vadodara Banquet Halls Veg ₹ 250 per plate Indoor"
The Fern Residency,"Sayajiganj,, ,, Vadodara, ₹, 400, ₹, 500",,"Sayajiganj,,Vadodara₹400₹500",40-250 pax,36 Rooms,+3 more,https://www.wedmegood.com/wedding-venues/The-Fern-Residency-1241033,"No Reviews Sayajiganj, Vadodara Banquet Halls, 3 Star Hotels with Banquets Veg ₹ 400 per plate Non veg ₹ 500 per plate"
Shree Maruti Restaurant and Banquets,"Hari Nagar,, ,, Vadodara, ₹, 240",,"Hari Nagar,,Vadodara₹240",60-100 pax,N/A,+2 more,https://www.wedmegood.com/wedding-venues/Shree-Maruti-Restaurant-and-Banquets-911289,"No Reviews Hari Nagar, Vadodara Banquet Halls, Small Function / Party Halls Veg ₹ 240 per plate Indoor"
Comfort Inn Donil,"Harni,, ,, Vadodara, ₹, 500, ₹, 800",,"Harni,,Vadodara₹500₹800",600-800 pax,60 Rooms,+3 more,https://www.wedmegood.com/wedding-venues/Comfort-Inn-Donil-743312,"No Reviews Harni, Vadodara Banquet Halls, 3 Star Hotels with Banquets Veg ₹ 500 per plate Non veg ₹ 800 per plate"
Neelkamal Party Plot,"Bhayli,, ,, Vadodara, ₹, 350, ₹, 450",,"Bhayli,,Vadodara₹350₹450",300-400 pax,N/A,+2 more,https://www.wedmegood.com/wedding-venues/Neelkamal-Party-Plot-706200,"No Reviews Bhayli, Vadodara Banquet Halls, Marriage Garden / Lawns Veg ₹ 350 per plate Non veg ₹ 450 per plate IndoorOutdoor"
"The Fern - An Ecotel Hotel, Vadodara","Haripura,, ,, Vadodara, ₹, 1,000, ₹, 1,100",,"Haripura,,Vadodara₹1,000₹1,100",200-800 pax,85 Rooms,+3 more,https://www.wedmegood.com/wedding-venues/The-Fern-An-Ecotel-Hotel-Vadodara-911718,"No Reviews Haripura, Vadodara 4 Star & Above Wedding Hotels, Banquet Halls Veg ₹ 1,000 per plate Non veg ₹ 1,100 per plate"
Madhuram Banquet Hall,"Waghodia,, ,, Vadodara, ₹, 270",,"Waghodia,,Vadodara₹270",200-300 pax,N/A,+2 more,https://www.wedmegood.com/wedding-venues/Madhuram-Banquet-Hall-913477,"No Reviews Waghodia, Vadodara Banquet Halls Veg ₹ 270 per plate Indoor"
Silver Spoon Banquet,"Manjalpur,, ,, Vadodara, ₹, 300",,"Manjalpur,,Vadodara₹300",500-750 pax,N/A,+1 more,https://www.wedmegood.com/wedding-venues/Silver-Spoon-Banquet-116094,"No Reviews Manjalpur, Vadodara Banquet Halls, Convention / Function Halls Veg ₹ 300 per plate Indoor"
Anjoy The Retreat,"Alkapuri,, ,, Vadodara, ₹, 300",5.0,"Alkapuri,,Vadodara₹300",300-600 pax,N/A,+2 more,https://www.wedmegood.com/wedding-venues/Anjoy-The-Retreat-116378,"(1 review) Alkapuri, Vadodara Banquet Halls, Convention / Function Halls Veg ₹ 300 per plate Indoor"
Blue Lagoon's Restaurant,"Akota,, ,, Vadodara, ₹, 300",,"Akota,,Vadodara₹300",250-400 pax,N/A,+2 more,https://www.wedmegood.com/wedding-venues/Blue-Lagoons-Restaurant-912977,"No Reviews Akota, Vadodara Banquet Halls Veg ₹ 300 per plate Indoor"
Ashirwad Restaurant & Banquet,"Sayaji Park Society,, ,, Vadodara, ₹, 240",,"Sayaji Park Society,,Vadodara₹240",100-150 pax,N/A,+2 more,https://www.wedmegood.com/wedding-venues/Ashirwad-Restaurant-and-Banquet-973078,"No Reviews Sayaji Park Society, Vadodara Banquet Halls, Small Function / Party Halls Veg ₹ 240 per plate Indoor"
Shree Vallabha Restaurant and Banquet Hall,"Vadodara, ₹, 400",,Vadodara₹400,150-250 pax,N/A,+2 more,https://www.wedmegood.com/wedding-venues/Shree-Vallabha-Restaurant-and-Banquet-Hall-975449,No Reviews Vadodara Banquet Halls Veg ₹ 400 per plate Indoor
The Fiesta Banquet,"Akota,, ,, Vadodara, ₹, 450",,"Akota,,Vadodara₹450",60-90 pax,N/A,+2 more,https://www.wedmegood.com/wedding-venues/The-Fiesta-Banquet-911859,"No Reviews Akota, Vadodara Banquet Halls, Small Function / Party Halls Veg ₹ 450 per plate Indoor"
Club Madrid by Pacifica,"Bhayli,, ,, Vadodara, ₹, 450",,"Bhayli,,Vadodara₹450",80-250 pax,N/A,+2 more,https://www.wedmegood.com/wedding-venues/Club-Madrid-by-Pacifica-971039,"No Reviews Bhayli, Vadodara Banquet Halls, Marriage Garden / Lawns Veg ₹ 450 per plate IndoorOutdoor"
K 10 Hotel,"Vadiwadi,, ,, Vadodara, Price on Request",,"Vadiwadi,,VadodaraPrice on Request",150-200 pax,71 Rooms,+3 more,https://www.wedmegood.com/wedding-venues/K-10-Hotel-2345339,"No Reviews Vadiwadi, Vadodara Banquet Halls, 3 Star Hotels with Banquets Price on Request"
Anjoy The Retreat,"Alkapuri,, ,, Vadodara, ₹, 300",5.0,"Alkapuri,,Vadodara₹300",300-600 pax,N/A,+2 more,https://www.wedmegood.com/wedding-venues/Anjoy-The-Retreat-116378,"(1 review) Alkapuri, Vadodara Banquet Halls, Convention / Function Halls Veg ₹ 300 per plate Indoor"
Hotel Swastik,"Jetalpur,, ,, Vadodara, ₹, 400",,"Jetalpur,,Vadodara₹400",90-300 pax,33 Rooms,+3 more,https://www.wedmegood.com/wedding-venues/Hotel-Swastik-988854,"No Reviews Jetalpur, Vadodara Banquet Halls, 3 Star Hotels with Banquets Veg ₹ 400 per plate"
Krishna Party Plot,"Karelibagh,, ,, Vadodara, ₹, 600",5.0,"Karelibagh,,Vadodara₹600",300-1500 pax,N/A,+2 more,https://www.wedmegood.com/wedding-venues/Krishna-Party-Plot-594417,"(1 review) Karelibagh, Vadodara Banquet Halls, Marriage Garden / Lawns Veg ₹ 600 per plate IndoorOutdoor"
LG Party Plot,"Manjalpur,, ,, Vadodara, Price on Request",,"Manjalpur,,VadodaraPrice on Request",150-800 pax,N/A,+2 more,https://www.wedmegood.com/wedding-venues/LG-Party-Plot-991305,"No Reviews Manjalpur, Vadodara Banquet Halls, Marriage Garden / Lawns Price on Request IndoorOutdoor"
Hotel Evaay,"Sayajiganj,, ,, Vadodara, Price on Request",,"Sayajiganj,,VadodaraPrice on Request",250-450 pax,23 Rooms,+3 more,https://www.wedmegood.com/wedding-venues/Hotel-Evaay-2315262,"No Reviews Sayajiganj, Vadodara Banquet Halls, Marriage Garden / Lawns Price on Request"
Samay Lawn & Banquets,"Sevasi,, ,, Vadodara, Price on Request",5.0,"Sevasi,,VadodaraPrice on Request",300-500 pax,26 Rooms,+3 more,https://www.wedmegood.com/wedding-venues/Samay-Lawn-and-Banquets-1582408,"(1 review) Sevasi, Vadodara Banquet Halls, Marriage Garden / Lawns Price on Request"
Satyam Shivam Sundaram Halls,"Vadodara, ₹, 250",,Vadodara₹250,850-1000 pax,45 Rooms,+3 more,https://www.wedmegood.com/wedding-venues/Satyam-Shivam-Sundaram-Halls-911895,"No Reviews Vadodara Banquet Halls, Destination Wedding Venues Veg ₹ 250 per plate"
Deep Party Plot,"Tandalja,, ,, Vadodara, ₹, 600",4.4,"Tandalja,,Vadodara₹600",400-600 pax,6 Rooms,+3 more,https://www.wedmegood.com/wedding-venues/Deep-Party-Plot-911979,"(4 reviews) Tandalja, Vadodara Banquet Halls, Marriage Garden / Lawns Veg ₹ 600 per plate"
Hotel Jal Sagar,"Sayajiganj,, ,, Vadodara, ₹, 275",,"Sayajiganj,,Vadodara₹275",80-250 pax,40 Rooms,+3 more,https://www.wedmegood.com/wedding-venues/Hotel-Jal-Sagar-593445,"No Reviews Sayajiganj, Vadodara Banquet Halls, 3 Star Hotels with Banquets Veg ₹ 275 per plate"
Shagun Residency,"Diwalipura,, ,, Vadodara, ₹, 350, ₹, 450",,"Diwalipura,,Vadodara₹350₹450",15-100 pax,40 Rooms,+3 more,https://www.wedmegood.com/wedding-venues/Shagun-Residency-595811,"No Reviews Diwalipura, Vadodara Banquet Halls, 3 Star Hotels with Banquets Veg ₹ 350 per plate Non veg ₹ 450 per plate"
Lalita Party Plot,"Madhavpura,, ,, Vadodara, ₹, 300",,"Madhavpura,,Vadodara₹300",700-2000 pax,N/A,+2 more,https://www.wedmegood.com/wedding-venues/Lalita-Party-Plot-706195,"No Reviews Madhavpura, Vadodara Banquet Halls, Marriage Garden / Lawns Veg ₹ 300 per plate IndoorOutdoor"
Lohana Seva Mandal,"Karelibagh,, ,, Vadodara, ₹, 400, ₹, 500",,"Karelibagh,,Vadodara₹400₹500",250-600 pax,N/A,+3 more,https://www.wedmegood.com/wedding-venues/Lohana-Seva-Mandal-913622,"No Reviews Karelibagh, Vadodara Banquet Halls, Marriage Garden / Lawns Veg ₹ 400 per plate Non veg ₹ 500 per plate IndoorOutdoor"
Fortune Inn Promenade,"Padra Road,, ,, Vadodara, ₹, 899, ₹, 1,000",,"Padra Road,,Vadodara₹899₹1,000",50-150 pax,30 Rooms,+3 more,https://www.wedmegood.com/wedding-venues/Fortune-Inn-Promenade-1934261,"No Reviews Padra Road, Vadodara 4 Star & Above Wedding Hotels, Banquet Halls Veg ₹ 899 per plate Non veg ₹ 1,000 per plate"
LA Treno Banquet Hall,"Vadodara, ₹, 300",,Vadodara₹300,150-200 pax,N/A,+3 more,https://www.wedmegood.com/wedding-venues/LA-Treno-Banquet-Hall-24622817,No Reviews Vadodara Banquet Halls Veg ₹ 300 per plate Indoor
The Baroda Residency,"Alkapuri,, ,, Vadodara, ₹, 650, ₹, 750",3.3,"Alkapuri,,Vadodara₹650₹750",30-400 pax,48 Rooms,+3 more,https://www.wedmegood.com/wedding-venues/The-Baroda-Residency-743308,"(3 reviews) Alkapuri, Vadodara Banquet Halls, 3 Star Hotels with Banquets Veg ₹ 650 per plate Non veg ₹ 750 per plate"
Purandare Farm Lawns & Banquets,"Vadodara, Price on Request",4.0,VadodaraPrice on Request,120-2500 pax,N/A,+2 more,https://www.wedmegood.com/wedding-venues/Purandare-Farm-Lawns-and-Banquets-719640,"(1 review) Vadodara Banquet Halls, Marriage Garden / Lawns Price on Request IndoorOutdoor"
C. C. Patel Farm,"Manjalpur,, ,, Vadodara, ₹, 450, ₹, 475",5.0,"Manjalpur,,Vadodara₹450₹475",120-3000 pax,N/A,+2 more,https://www.wedmegood.com/wedding-venues/C-C-Patel-Farm-698926,"(1 review) Manjalpur, Vadodara Banquet Halls, Marriage Garden / Lawns Veg ₹ 450 per plate Non veg ₹ 475 per plate IndoorOutdoor"
Bahurani The Royal Family Restaurant,"Waghodia,, ,, Vadodara, ₹, 300",,"Waghodia,,Vadodara₹300",100-150 pax,N/A,+2 more,https://www.wedmegood.com/wedding-venues/Bahurani-The-Royal-Family-Restaurant-913410,"No Reviews Waghodia, Vadodara Banquet Halls, Small Function / Party Halls Veg ₹ 300 per plate Indoor"
Vivaah Party Plot & Banquet Hall,"Akota,, ,, Vadodara, ₹, 400",,"Akota,,Vadodara₹400",100-300 pax,N/A,+2 more,https://www.wedmegood.com/wedding-venues/Vivaah-Party-Plot-and-Banquet-Hall-1268952,"No Reviews Akota, Vadodara Banquet Halls, Marriage Garden / Lawns Veg ₹ 400 per plate IndoorOutdoor"
Venuotel Hotel,"Sayajiganj,, ,, Vadodara, Price on Request",,"Sayajiganj,,VadodaraPrice on Request",200-300 pax,23 Rooms,+3 more,https://www.wedmegood.com/wedding-venues/Venuotel-Hotel-2315252,"No Reviews Sayajiganj, Vadodara Banquet Halls, 3 Star Hotels with Banquets Price on Request"
Sigdi Restaurant & Banquet,"Akota,, ,, Vadodara, ₹, 250",,"Akota,,Vadodara₹250",60-125 pax,N/A,+2 more,https://www.wedmegood.com/wedding-venues/Sigdi-Restaurant-and-Banquet-594289,"No Reviews Akota, Vadodara Banquet Halls, Small Function / Party Halls Veg ₹ 250 per plate Indoor"
Lake View Multipurpose Hall,"Harni,, ,, Vadodara, ₹, 400",,"Harni,,Vadodara₹400",700-1000 pax,N/A,+2 more,https://www.wedmegood.com/wedding-venues/Lake-View-Multipurpose-Hall-911764,"No Reviews Harni, Vadodara Banquet Halls, Convention / Function Halls Veg ₹ 400 per plate Indoor"
Hyatt Place Vadodara,"Saiyed Vasna,, ,, Vadodara, ₹, 1,600, ₹, 1,800",,"Saiyed Vasna,,Vadodara₹1,600₹1,800",12-500 pax,117 Rooms,+3 more,https://www.wedmegood.com/wedding-venues/hyatt-place-vadodara-2168350,"No Reviews Saiyed Vasna, Vadodara 4 Star & Above Wedding Hotels, Banquet Halls Veg ₹ 1,600 per plate Non veg ₹ 1,800 per plate"
Alive Restaurant & Banquet,"Vadodara, ₹, 350",,Vadodara₹350,200-250 pax,65 Rooms,+4 more,https://www.wedmegood.com/wedding-venues/Alive-Restaurant-and-Banquet-4747077,"No Reviews Vadodara Banquet Halls, 3 Star Hotels with Banquets Veg ₹ 350 per plate"
Manjalpur Atithi Gruh,"Manjalpur,, ,, Vadodara, ₹, 400",,"Manjalpur,,Vadodara₹400",150-250 pax,N/A,+2 more,https://www.wedmegood.com/wedding-venues/Manjalpur-Atithi-Gruh-1012566,"No Reviews Manjalpur, Vadodara Banquet Halls Veg ₹ 400 per plate Indoor"
Hotel Marvel Residency,"Waghodia,, ,, Vadodara, ₹, 400",,"Waghodia,,Vadodara₹400",70-100 pax,22 Rooms,+3 more,https://www.wedmegood.com/wedding-venues/Hotel-Marvel-Residency-913056,"No Reviews Waghodia, Vadodara Banquet Halls, 3 Star Hotels with Banquets Veg ₹ 400 per plate"
Hotel Limra,"Sayajiganj,, ,, Vadodara, ₹, 500, ₹, 600",,"Sayajiganj,,Vadodara₹500₹600",60-100 pax,20 Rooms,+3 more,https://www.wedmegood.com/wedding-venues/Hotel-Limra-1241084,"No Reviews Sayajiganj, Vadodara Banquet Halls, 3 Star Hotels with Banquets Veg ₹ 500 per plate Non veg ₹ 600 per plate"
Premvati Fine Dine Restaurant and Banquet,"Atladara,, ,, Vadodara, ₹, 250",,"Atladara,,Vadodara₹250",200-300 pax,N/A,+2 more,https://www.wedmegood.com/wedding-venues/Premvati-Fine-Dine-Restaurant-and-Banquet-973108,"No Reviews Atladara, Vadodara Banquet Halls Veg ₹ 250 per plate Indoor"
